"screen_name","followers_count","text"
"emas_online",1356,"BBC News - Coronavirus: NHS staff off work due to testing shortages, say bosses affecting healthcare #COVID https://t.co/BS7CJVcotp"
"jharsugudalive",2118,"JCI Jharsuguda organizes Bicycle rally to aware people about COVID-19. 
Click Here to Read More : https://t.co/mzfXt1fuVO
#bicyclerally #covid-19awarenessrally #jcijharsuguda #jharsuguda https://t.co/bvtXfdTjQM"
"SaraPadmore",2497,"11,900 die every week in the UK.
In week 36, just 78 of those deaths, of those 11,900, were 'with' #Covid.
 Why are we STILL locked down? https://t.co/dLRVqYPUd5"
"SaraPadmore",2497,"#Lockdown measures 'massive infringements of civil liberties'
""There has been definite “mission creep” in our country’s response to this #Covid situation. Initially we were asked to stay home to “flatten the curve” and avoid overwhelming the NHS."" https://t.co/vR2f2i5wfx"
"fintech_germany",77,"Quantgene can detect early-stage cancer in a single draw of blood https://t.co/0F8ptwXjSD #startupradio #PodernFamily 
#healthcare #health #medical #covid #medicine #doctor #hospital #research #coronavirus #doctors #healthy #humangenome #Genetics"
"TruthBlueIn",23753,"@JoeBiden @realDonaldTrump He's withheld evidence of #ClimateChange so as not to interfere with the agenda of his fossil fuel donors.

He failed to warn Americans of the seriousness of #Covid.

Add just those 2 lies together, &amp; it's cost people to die  needlessly &amp; he won't stop. https://t.co/GUCzHSiF9y"
"vicenvironment",243,"Police officer on @abc730 just confirmed there is no testing for #covid before passengers get to the hotel. No test on arrival to Australia, no test before getting through customs &amp; quarantine. No test before they are exposed to bus drivers, police, security, hotel staff etc."
"HopeCapeTown",622,"ECD's Benefit from Face Shields: 

HOPE Cape Town distributed face shields which was donated by @Saxoprint_de  to 3 early childhood development centres in Delft. This is just our way of ensuring that our precious children are protected at all times!

#capetown #covid #masks #hope https://t.co/j77NN2jQ5Y"
"Pointer77352595",926,"@MayorofLondon Go home. The cat is well out of the bag. <U+0001F602>

https://t.co/pdS0B75ZRz

#COVID and #MASKS 
https://t.co/LdyQjNtJbJ

Eat this
https://t.co/Pool6AE2gn"
"VickiePolitics",354,"Very cool to meet Hope and hear how #JobKeeper and the more than $170,000 from our zoos support package helped the Australian Reptile Park get through the #COVID shutdown with all 41 of their staff still employed. https://t.co/H5S8BGHIrA"
